SEXO,EDAD
Hombre,8
Mujer,28
Mujer,4
Hombre,8
Mujer,12
Mujer,25
Hombre,5
Hombre,6
Mujer,12
Hombre,22
Mujer,25
Mujer,7
Hombre,11
Hombre,5
Mujer,8
Mujer,12
Hombre,16
Hombre,21
Hombre,3
Mujer,3
Hombre,28
Mujer,12
Hombre,29
Hombre,11
Mujer,16
Hombre,20
Hombre,25
Hombre,10
Hombre,8
Mujer,8
Hombre,9
Hombre,22
Hombre,23
Mujer,15
Hombre,25
Hombre,29
Mujer,11
Mujer,14
Hombre,17
Mujer,21
Hombre,23
Hombre,13
Hombre,16
Mujer,18
Hombre,20
Mujer,7
Mujer,24
Mujer,10
Mujer,14
Mujer,18
Hombre,3
Hombre,6
Hombre,13
Mujer,24
Hombre,4
Hombre,21
Mujer,29
Mujer,21
Mujer,24
Mujer,26
Hombre,22
Mujer,13
Mujer,14
Hombre,11
Hombre,18
Hombre,21
Hombre,3
Mujer,6
Hombre,9
Mujer,24
Mujer,25
Mujer,17
Mujer,18
Hombre,21
Hombre,19
Hombre,26
Hombre,11
Mujer,21
Mujer,26
Mujer,9
Hombre,15
Hombre,18
Hombre,20
Hombre,24
Mujer,19
Hombre,16
Hombre,5
Mujer,7
Hombre,9
Hombre,16
Mujer,17
Hombre,19
Mujer,20
Hombre,23
Hombre,25
Hombre,9
Hombre,11
Hombre,15
Mujer,17
Mujer,18
Hombre,10
Mujer,26
Mujer,13
Mujer,18
Mujer,5
Hombre,8
Mujer,22
Hombre,25
Hombre,12
Hombre,22
Hombre,28
Hombre,25
Mujer,5
Hombre,10
Mujer,11
Mujer,11
Mujer,18
Mujer,27
Mujer,28
Hombre,10
Hombre,17
Mujer,20
Hombre,11
Hombre,13
Hombre,15
Mujer,19
Hombre,14
Hombre,15
Hombre,22
Mujer,15
Mujer,3
Hombre,4
Mujer,7
Hombre,19
Mujer,20
Mujer,26
Hombre,11
Hombre,15
Hombre,20
Mujer,21
Hombre,29
Mujer,15
Mujer,17
Hombre,23
Hombre,28
Mujer,16
Mujer,19
Mujer,26
Hombre,6
Mujer,21
Hombre,18
Mujer,20
Mujer,15
Mujer,18
Hombre,24
Hombre,15
Hombre,19
Hombre,25
Mujer,4
Hombre,12
Mujer,18
Hombre,5
Hombre,7
Mujer,11
Hombre,25
Mujer,28
Mujer,26
Hombre,27
Mujer,27
Hombre,29
Mujer,4
Hombre,8
Mujer,25
Mujer,25
Mujer,27
Mujer,26
Mujer,16
Hombre,18
Hombre,20
Mujer,14
Mujer,18
Mujer,4
Hombre,7
Mujer,24
Hombre,28
Mujer,13
Mujer,20
Hombre,10
Hombre,12
Hombre,3
Mujer,10
Mujer,19
Mujer,14
Hombre,10
Hombre,24
Mujer,22
Mujer,12
Hombre,16
Mujer,23
Mujer,12
Mujer,15
Mujer,6
Mujer,19
Mujer,20
Mujer,22
Hombre,23
Hombre,23
Mujer,28
Hombre,20
Hombre,27
Hombre,14
Mujer,18
Hombre,28
Hombre,25
Mujer,26
Hombre,19
Mujer,20
Mujer,21
Mujer,8
Mujer,12
Hombre,22
Hombre,7
Mujer,8
Hombre,21
Mujer,25
Hombre,16
Hombre,3
Mujer,20
Mujer,24
Hombre,24
Mujer,3
Hombre,7
Mujer,10
Mujer,28
Mujer,20
Hombre,4
Hombre,6
Mujer,9
Mujer,10
Mujer,28
Mujer,20
Mujer,20
Hombre,24
Mujer,5
Mujer,9
Hombre,13
Mujer,21
Mujer,23
Hombre,27
Hombre,16
Hombre,17
Hombre,22
Mujer,23
Hombre,22
Mujer,14
Hombre,28
Hombre,29
Hombre,9
Hombre,14
Mujer,10
Hombre,14
Hombre,12
Hombre,13
Hombre,17
Mujer,17
Mujer,19
Hombre,21
Hombre,22
Mujer,15
Hombre,16
Mujer,14
Hombre,16
Hombre,17
Mujer,22
Mujer,24
Mujer,7
Hombre,14
Hombre,17
Mujer,15
Hombre,19
Mujer,24
Hombre,25
Mujer,8
Mujer,18
Hombre,20
Mujer,23
Mujer,13
Hombre,19
Hombre,21
Hombre,19
Hombre,10
Hombre,13
Hombre,15
Mujer,3
Mujer,17
Mujer,6
Mujer,20
Mujer,23
Hombre,24
Mujer,6
Mujer,9
Mujer,9
Hombre,12
Hombre,15
Mujer,6
Hombre,7
Mujer,25
Mujer,29
Mujer,6
Hombre,19
Mujer,22
Mujer,14
Hombre,7
Hombre,9
Mujer,12
Mujer,14
Mujer,5
Mujer,26
Mujer,15
Hombre,24
Hombre,25
Mujer,7
Mujer,6
Mujer,10
Hombre,15
Hombre,16
Mujer,22
Hombre,24
Mujer,23
Mujer,19
Mujer,21
Hombre,10
Hombre,12
Hombre,21
Hombre,4
Mujer,11
Mujer,12
Hombre,25
Mujer,25
Hombre,29
Hombre,7
Mujer,15
Mujer,25
Mujer,24
Hombre,26
Mujer,15
Mujer,8
Mujer,10
Mujer,14
Mujer,18
Hombre,22
Hombre,8
Hombre,10
Hombre,25
Hombre,5
Mujer,4
Mujer,9
Mujer,12
Hombre,17
Mujer,22
Hombre,7
Hombre,14
Mujer,18
Mujer,26
Mujer,6
Mujer,13
Mujer,14
Hombre,5
Mujer,16
Hombre,18
Mujer,14
Mujer,18
Mujer,24
Hombre,23
Hombre,19
Hombre,19
Hombre,11
Mujer,13
Mujer,14
Hombre,20
Mujer,11
Mujer,15
Hombre,19
Mujer,14
Hombre,28
Hombre,13
Hombre,20
Hombre,21
Mujer,22
Hombre,18
Mujer,20
Mujer,22
Hombre,24
Hombre,23
Hombre,24
Mujer,5
Mujer,8
Hombre,10
Mujer,20
Hombre,22
Mujer,17
Mujer,10
Hombre,21
Hombre,26
Hombre,5
Mujer,8
Mujer,12
Hombre,20
Mujer,8
Mujer,10
Hombre,18
Mujer,26
Hombre,25
Hombre,7
Hombre,7
Mujer,11
Hombre,17
Mujer,10
Mujer,17
Hombre,19
Hombre,17
Mujer,22
Hombre,21
Mujer,17
Mujer,21
Mujer,20
Hombre,24
Mujer,20
Mujer,24
Mujer,12
Mujer,15
Hombre,12
Hombre,15
Mujer,17
Hombre,20
Hombre,21
Hombre,22
Mujer,9
Mujer,13
Mujer,14
Hombre,16
Mujer,5
Hombre,20
Hombre,5
Mujer,8
Hombre,16
Mujer,16
Hombre,21
Hombre,5
Mujer,10
Mujer,26
Mujer,10
Hombre,19
Mujer,25
Hombre,3
Hombre,4
Mujer,3
Hombre,7
Mujer,11
Mujer,27
Hombre,10
Hombre,21
Mujer,26
Hombre,12
Hombre,13
Mujer,18
Mujer,22
Hombre,13
Mujer,16
Mujer,21
Mujer,20
Hombre,3
Mujer,19
Hombre,20
Hombre,5
Hombre,15
Mujer,16
Hombre,9
Mujer,14
Mujer,16
Hombre,18
Hombre,19
Mujer,4
Hombre,27
Mujer,9
Hombre,17
Mujer,21
Mujer,22
Mujer,27
Mujer,21
Hombre,24
Mujer,18
Hombre,20
Hombre,24
Mujer,10
Hombre,14
Hombre,15
Hombre,6
Hombre,8
Mujer,27
Mujer,19
Mujer,5
Mujer,7
Mujer,9
Mujer,26
Hombre,27
Mujer,4
Mujer,15
Hombre,17
Hombre,15
Hombre,20
Hombre,27
Hombre,4
Hombre,25
Hombre,24
Hombre,5
Hombre,10
Hombre,28
Mujer,28
Mujer,15
Hombre,19
Hombre,5
Mujer,8
Hombre,25
Hombre,10
Mujer,19
Hombre,4
Mujer,6
Mujer,21
Hombre,11
Mujer,17
Hombre,12
Mujer,15
Mujer,20
Mujer,23
Mujer,15
Hombre,7
Hombre,16
Hombre,18
Hombre,16
Mujer,20
Hombre,23
Mujer,19
Hombre,22
Hombre,6
Hombre,8
Hombre,9
Hombre,25
Mujer,25
Mujer,4
Hombre,7
Mujer,9
Hombre,12
Mujer,14
Mujer,17
Mujer,19
Hombre,10
Hombre,13
Hombre,15
Mujer,14
Mujer,27
Hombre,6
Mujer,28
Hombre,28
Mujer,6
Mujer,10
Hombre,15
Mujer,18
Hombre,6
Mujer,13
Hombre,11
Mujer,13
Hombre,8
Mujer,9
Hombre,15
Hombre,14
Hombre,18
Hombre,19
Mujer,18
Hombre,20
Hombre,8
Mujer,8
Hombre,13
Hombre,29
Hombre,11
Hombre,3
Hombre,13
Mujer,16
Hombre,19
Hombre,22
Mujer,28
Hombre,18
Mujer,20
Mujer,25
Hombre,25
Hombre,4
Hombre,24
Mujer,27
Mujer,19
Mujer,22
Hombre,16
Hombre,21
Mujer,23
Hombre,24
Mujer,3
Hombre,8
Mujer,18
